parent,child,width,color,name
2408,237,10,#FFC0CB,2408 (interacts with) 237
11912,238,10,#FFC0CB,11912 (interacts with) 238
11912,239,10,#FFC0CB,11912 (interacts with) 239
2659,240,10,#FFC0CB,2659 (interacts with) 240
8723,241,10,#FFC0CB,8723 (interacts with) 241
241,242,10,#FFC0CB,241 (interacts with) 242
9540,243,10,#FFC0CB,9540 (interacts with) 243
11554,244,10,#FFC0CB,11554 (interacts with) 244
9859,245,10,#FFC0CB,9859 (interacts with) 245
9281,246,10,#FFC0CB,9281 (interacts with) 246
9540,247,10,#FFC0CB,9540 (interacts with) 247
976,248,10,#FFC0CB,976 (interacts with) 248
1515,249,10,#FFC0CB,1515 (interacts with) 249
249,250,10,#FFC0CB,249 (interacts with) 250
3367,251,10,#FFC0CB,3367 (interacts with) 251
1422,252,10,#FFC0CB,1422 (interacts with) 252
4069,253,10,#FFC0CB,4069 (interacts with) 253
5887,254,10,#FFC0CB,5887 (interacts with) 254
260,255,10,#FFC0CB,260 (interacts with) 255
255,256,10,#FFC0CB,255 (interacts with) 256
9537,257,10,#FFC0CB,9537 (interacts with) 257
2492,258,10,#FFC0CB,2492 (interacts with) 258
5887,259,10,#FFC0CB,5887 (interacts with) 259
11675,260,10,#FFC0CB,11675 (interacts with) 260
2257,261,10,#FFC0CB,2257 (interacts with) 261
261,262,10,#FFC0CB,261 (interacts with) 262
8049,263,10,#FFC0CB,8049 (interacts with) 263
147,264,10,#FFC0CB,147 (interacts with) 264
3507,265,10,#FFC0CB,3507 (interacts with) 265
4028,266,10,#FFC0CB,4028 (interacts with) 266
266,267,10,#FFC0CB,266 (interacts with) 267
9916,268,10,#FFC0CB,9916 (interacts with) 268
10074,269,10,#FFC0CB,10074 (interacts with) 269
2112,270,10,#FFC0CB,2112 (interacts with) 270
9566,271,10,#FFC0CB,9566 (interacts with) 271
1499,272,10,#FFC0CB,1499 (interacts with) 272
10256,273,10,#FFC0CB,10256 (interacts with) 273
4772,274,10,#FFC0CB,4772 (interacts with) 274
1178,275,10,#FFC0CB,1178 (interacts with) 275
6030,276,10,#FFC0CB,6030 (interacts with) 276
4753,277,10,#FFC0CB,4753 (interacts with) 277
3870,278,10,#FFC0CB,3870 (interacts with) 278
2827,279,10,#FFC0CB,2827 (interacts with) 279
9741,280,10,#FFC0CB,9741 (interacts with) 280
5218,281,10,#FFC0CB,5218 (interacts with) 281
281,282,10,#FFC0CB,281 (interacts with) 282
12066,283,10,#FFC0CB,12066 (interacts with) 283
5218,284,10,#FFC0CB,5218 (interacts with) 284
3361,285,10,#FFC0CB,3361 (interacts with) 285
285,286,10,#FFC0CB,285 (interacts with) 286
2827,287,10,#FFC0CB,2827 (interacts with) 287
8310,288,10,#FFC0CB,8310 (interacts with) 288
7869,289,10,#FFC0CB,7869 (interacts with) 289
2530,290,10,#FFC0CB,2530 (interacts with) 290
4130,291,10,#FFC0CB,4130 (interacts with) 291
291,292,10,#FFC0CB,291 (interacts with) 292
2530,293,10,#FFC0CB,2530 (interacts with) 293
7632,294,10,#FFC0CB,7632 (interacts with) 294
9317,295,10,#FFC0CB,9317 (interacts with) 295
9317,296,10,#FFC0CB,9317 (interacts with) 296
10251,297,10,#FFC0CB,10251 (interacts with) 297
5162,298,10,#FFC0CB,5162 (interacts with) 298
1858,299,10,#FFC0CB,1858 (interacts with) 299
1858,300,10,#FFC0CB,1858 (interacts with) 300
9687,301,10,#FFC0CB,9687 (interacts with) 301
1858,302,10,#FFC0CB,1858 (interacts with) 302
1630,303,10,#FFC0CB,1630 (interacts with) 303
9655,304,10,#FFC0CB,9655 (interacts with) 304
1858,305,10,#FFC0CB,1858 (interacts with) 305
2676,306,10,#FFC0CB,2676 (interacts with) 306
10574,307,10,#FFC0CB,10574 (interacts with) 307
3036,308,10,#FFC0CB,3036 (interacts with) 308
3036,309,10,#FFC0CB,3036 (interacts with) 309
309,310,10,#FFC0CB,309 (interacts with) 310
2108,311,10,#FFC0CB,2108 (interacts with) 311
10283,312,10,#FFC0CB,10283 (interacts with) 312
589,313,10,#FFC0CB,589 (interacts with) 313
9536,314,10,#FFC0CB,9536 (interacts with) 314
5725,315,10,#FFC0CB,5725 (interacts with) 315
1060,316,10,#FFC0CB,1060 (interacts with) 316
316,317,10,#FFC0CB,316 (interacts with) 317
3374,318,10,#FFC0CB,3374 (interacts with) 318
318,319,10,#FFC0CB,318 (interacts with) 319
2814,320,10,#FFC0CB,2814 (interacts with) 320
